publish_date,rumor,fact,ents
2020/2/21,Is Wuhan Institute of Virology responsible for the virus outbreak?,"Recent rumors and misinformation targeting the Wuhan Institute of Virology of the Chinese Academy of Sciences have seriously disturbed its research against the novel coronavirus epidemic, but it has ""a clear conscience and no regrets"" and will remain steadfast in continuing its work to fight the virus, the institute said in a public letter late on Wednesday. Established in 1956, the institute, which is the top virology research agency in China and home to Asia's highest-level biosafety lab, has been besieged by rumors and controversies since the outbreak. These rumors included the virus being artificially engineered or leaked from the institute's P4 biosecurity lab. They also attacked the institute's leaders and its staff, claiming the first patient of the virus was one of its graduate students and questioning the competence of its director. ""These rumors have seriously harmed our researchers at the front line and have seriously disrupted our institute's research mission to combat the epidemic,"" the letter said. The letter said its researchers have worked tirelessly, overcome many obstacles and produced numerous crucial and timely discoveries, including publishing the full genome of the virus, identifying viral strains for vaccine and drug development, creating animal test models and diagnosing patients. ""Looking back at all the hard work we have done in the past month, we have a clear conscience and no regrets,"" it said.""Research is the front line against the epidemic. Let us firm our resolve, tune out distractions and jointly devote ourselves to our research and our work."" Over the past week, the institute issued multiple statements refuting rumors implying the institute was responsible for the novel coronavirus outbreak first discovered in Wuhan. On Monday, Chen Quanjiao, a researcher from the institute, refuted a conspiracy theory posted by Sina Weibo user ""Weiketiezhi"" who claimed that Chen had reported the head of the institute Wang Yanyi for selling experimental animals and leaking the virus from a lab. ""I never released any information reporting others and I'm very angry at those who impersonated me to fabricate a false message,""Chen said in her statement published on the institute's website. Chen added she will hold the rumor monger legally liable. The World Health Organization's Regional Office for the Eastern Mediterranean said in a news briefing on Wednesday that the virus came from animals, and there is no evidence to support that it came from a lab. Local cybersecurity authorities in Jiangsu province released a public statement on Monday saying they have traced the account spreading the rumor to an overseas IP and an organization that specializes in propagating anti-China content. ""Netizens should keep their eyes open and not be misled by others,"" it said. It is either bad intentions or absurd ignorance that has led certain individuals and media outlets to publish sensational statements that suggest the novel coronavirus is a bioweapon leaked from a lab, Foreign Ministry spokesman Geng Shuang said on Thursday. Geng mentioned the joint statement signed by 27 of the world's leading scientists in the field of public health and published by the journal Lancet in support of the Chinese researchers, healthcare workers and medics fighting the outbreak. The statement strongly condemns the conspiracy theories about the outbreak circulating on the internet. ""We're not just battling the virus, but also conspiracy theories,"" Geng said, noting that what is needed in the face of an epidemic is science, reason and cooperation. ""We must seek the triumph of science over ignorance, dispel rumors with truth and replace prejudice with cooperation,"" he said at the ministry's online news conference. China hopes that the international community will continue to work together against conspiracy theories and other ""political viruses"" while combating the novel coronavirus, Geng added.","Wuhan,us,novel coronavirus,public health,World Health Organization,who,China,coronavirus,epidemic,outbreak"
2020/2/21,Can novel coronavirus enter the body through skin?,"In fact, the novel coronavirus is unlikely to enter the human body through the skin. It is mainly spread through respiratory droplets and direct contact with a carrier.  Washing your hands properly and frequently is an effective way to avoid virus transmission, according to Zhou Qi, an academician of the Chinese Academy of Sciences.","coronavirus,novel coronavirus"
2020/2/21,Community clarifies misunderstanding on virus relapse,"Inappropriate wording in an epidemic notice released in a residential community in Wuhan misled people to believe two cured patients of the novel coronavirus pneumonia have relapsed, causing unexpected panic. According to the notice released by the Dahua residential community in Hongshan street on Thursday, ""There are two newly confirmed cases and one suspected case today, all patients who have recovered from the disease."" This caused panic among people, as many believe it is proof of a possible relapse of the contagious disease. In response, the community management committee released an announcement on Thursday stating it was a misunderstanding caused by wrong usage of words by the community employee in charge of updating the epidemic situation. It said the ""two newly confirmed cases"" mentioned in the notice are recovered NCP patients who have been discharged from hospital and are staying at home under quarantine, and the ""one suspected case"" is a patient who has seen improved conditions and has tested negative for the novel coronavirus two consecutive times. It said due to a change in the statistical method of counting, the employee in question included in the daily update the three cases, which were not calculated previously, ""to make the statistics more complete"". The committee apologized for the negative impact the mistake had caused. According to experts, cured NCP patients are advised to stay home for a 14-day isolation period after getting discharged from the hospital in case of a relapse. According to media reports, a recovered NCP patient in Chengdu, Sichuan province was found to have relapsed on Feb 19. The person saw a positive test for the virus during the 10th day of home isolation after recovering from the disease. The news has been confirmed by the province's health authority.","confirmed,Wuhan,contagious,cases,who,coronavirus,epidemic"
2020/2/22,Recycled subway tickets can transmit novel coronavirus?,"The major routes of transmission are still through respiratory droplets and direct contact, so it's highly unlikely that recycled subway tickets are contaminated with the virus, according to Feng Luzhao, an analyst from the Chinese Center for Disease Control and Prevention. Wearing a mask and keeping your hands clean are effective ways to prevent viral infections in daily life. Besides, when going out on the subway, people are encouraged to use a personal transportation card or pay for the ticket via an app. After taking public transportation, washing hands is necessary.",
2020/2/23,You need to disinfect or wash hair to prevent virus?,"There are certain conditions for people to get infected with the novel coronavirus, such as the amount of the virus in droplets or viral activity, according to Feng Luzhao, an analyst from the Chinese Center for Disease Control and Prevention. And the novel coronavirus is sensitive to heat and ultraviolet rays. Therefore, it's nearly unlikely for people's hair to be contaminated with droplets containing high concentrations of active virus in public places.","coronavirus,novel coronavirus"
2020/2/24,Seafood can spread novel coronavirus?,"The fact is novel coronavirus has no connection with seafood, and seafood won't transmit the virus, according to Huang Jianrong, deputy director in the Department of Infectious Diseases at the First Affiliated Hospital of Zhejiang University. People can eat seafood and go to seafood markets, but should avoid contact with wild animals.","Department,Infectious Diseases,coronavirus"
2020/2/25,Novel coronavirus can be transmitted via mosquito?,"The rumor that mosquitoes are likely to transmit the novel coronavirus has gone viral on social media. However, the World Health Organization noted on Saturday there is no evidence or proof yet showing the virus can be transmitted this way. According to WHO, the novel coronavirus is a respiratory virus, which spreads primarily through contact with an infected person via respiratory droplets generated when he or she coughs or sneezes, or via droplet discharge from the nose. The WHO stressed it's important for people to wash their hands regularly with either alcohol-based hand rub or soap and water. Avoiding direct contact with those who are coughing and sneezing is also recommended.","WHO,novel coronavirus,World Health Organization,who,coronavirus"
2020/2/25,Wuhan doctor answers coronavirus questions,"Chris, an American vlogger with more than 400,000 followers on Sina Weibo, managed to get on the phone with Doctor Gong Zuojiong to answer questions about the novel coronavirus and dispel some rumors and misinformation. Gong is the director of the Department of Infectious Diseases at Wuhan University's Renmin Hospital and on the front lines fighting the virus. Check it out!","Wuhan,Department,novel coronavirus,coronavirus,Infectious Diseases"
2020/2/26,Will hormone therapy leave patients disabled?,"Since the outbreak of the novel coronavirus pneumonia, there is a rumor saying that hormone treatments used on patients will cause severe side-effects, even leaving them disabled. The rumor arose mainly because during the 2003 SARS epidemic, a large number of patients received injections of glucocorticoids - hormones that inhibit inflammation - to treat the disease. Despite the immediate curative effects, the therapy left many patients who survived the disease struggling with physical problems, such as femoral head necrosis, a skeletal disease that corrodes hipbones beyond repair, in the following years. Zhao Jianping, a respiratory expert at Wuhan Union Hospital, said in a previous report that Chinese medical experts had reached consensus on less use of hormones when treating novel coronavirus patients. ""Due to a lack of knowledge, the amount of hormones used on SARS patients was quite heavy for a prolonged period. Now, we have agreed to avoid using excessive amounts of hormones,"" he was quoted as saying. According to the latest version of the guideline on diagnosis and treatment of novel coronavirus pneumonia released by the National Health Commission, doctors should be quite careful and cautious in the application of glucocorticoids to patients infected with the virus. For severe cases and critically ill patients, a limited amount of glucocorticoids can be used in a short period (3-5 days) based on the patient's condition, according to the guideline. So, will the recovered patients suffer from side-effects?  Wang Fusheng, an academician at the Chinese Academy of Sciences, said even for severe patients, if they receive timely treatments, there will be few chronic side-effects. So far there is no effective medication for the virus, and a person's own immune system plays a critical role in fighting against the virus, said Zhou Xin, a respiratory expert with Shanghai General Hospital. What medical workers can do is to support the immune system and maintain the body's normal functions through the use of life-support equipment, such as ventilators, thus buying time for the body to regain strength and fight off the disease, he said.","Wuhan,cases,novel coronavirus,pneumonia,who,immune system,coronavirus,outbreak,epidemic,treatment"
2020/2/26,Does wearing more than one surgical mask help prevent infection from the virus?,"According to medical experts, people can protect themselves if they wear a mask correctly. Wearing additional ones will not work, but will be a waste of resources and may even make it more difficult to breathe.",
2020/2/27,Do clothes transmit virus?,"The novel coronavirus is unlikely to be transmitted by clothing. And there is no need to disinfect clothes with alcohol if ordinary people haven't gone to the hospital, visited patients or had direct contact with suspected cases, according to Feng Luzhao, an analyst from the Chinese Center for Disease Control and Prevention. Alcohol has no corrosive effect on ordinary clothing. However, it is highly flammable and may catch fire due to high temperature, open fires or static electricity. Therefore, spraying medical alcohol directly on clothing is not recommended.","cases,coronavirus,novel coronavirus"
2020/2/28,"Should we disinfect shoe soles, delivery packages and others?","A senior official of Beijing's disease control authority said the public does not need to disinfect things like vehicle tires, air in corridors, shoe soles, delivery packages and surfaces in the open air. Liu Xiaofeng, deputy-director of the Beijing Center for Disease Control, said on Wednesday during a conference briefing on Beijing's epidemic control efforts that such disinfection is an overreaction and not scientific, and it may also do harm. Disinfection is only necessary when there definitely or probably are pathogenic microorganisms or other harmful microorganisms that may cause transmission of infectious diseases. In normal natural conditions, the occurrence of an infectious disease is decided by the mode of contact with the pathogens (direct and indirect), the number of pathogens and the duration of exposure to the pathogens. Most of the microorganisms in natural air are harmless and do not transmit from person to person. For ordinary households, paying attention to hand sanitation and hygiene before having direct contact with food and after using the toilet is enough to ward off disease, while using disinfectants too often is not good for your health, as some beneficial microorganisms on the human body may be killed. Ultraviolet lamps are not recommended to the public either. Frequent disinfection should be applied to public areas or places often contacted by hands.","Beijing,transmission,infectious diseases,epidemic,pathogens"
2020/2/29,Are infrared thermometers harmful to the eyes?,"Infrared thermometers work by receiving the thermal radiation emitted by humans, not vice versa. Using infrared thermometers is not harmful to the eyes and body, according to Feng Luzhao, a researcher from the Chinese Center for Disease Control and Prevention.",
2020/2/29,Can ventilators cause mucus clots?,"Scientists have debunked a recent rumor on social media which claims that ventilator could create mucus clots in the lungs of patients with the novel coronavirus pneumonia, thus suffocating them to death. The rumor cites evidence from a recently published autopsy report that revealed the virus mainly attacks the lungs and causes swelling in the air sacs. The report was published in the preview version of the Journal of Forensic Medicine last week. The rumor then claims that ventilator could create mucus clots in the lungs of patients and kill them. Therefore, the recent decrease in the number of deaths in Wuhan, Hubei province, was due to doctors replacing ventilator with machine that extracts mucus from the lungs. The rumor, widely shared on Twitter and Chinese social media Sina Weibo, has been panned by scientists and medical professionals. Liu Liang, the forensic doctor responsible for the autopsy, said in a recent interview that doctors need to reduce the lung fluid and keep the respiratory tract clean before administrating oxygen, or the gas might push the mucus deeper into the lungs and block the airways. However, Liu said the mucus clots are not created by ventilators but are symptoms of the disease. Moreover, cleaning the lung mucus is a standard procedure for all patients receiving the ventilators, and the machine has been a crucial piece of equipment that can save lives. The daily number of fatalities in Wuhan has dropped from 131 on Feb 23 to 37 on Friday. Qiu Haibo, a medical expert from the National Health Commission, said the decrease is due to concentrating critical patients into designated hospitals and giving them the best treatments available.","Wuhan,pneumonia,coronavirus,respiratory tract,Hubei province"
2020/3/1,Are protective measures needed in low epidemic risk regions?,"Some people think living in a low epidemic risk region means protective measures such as wearing a mask and frequently washing hands are no longer necessary. Low-risk regions are not risk-free, said He Qinghua, an official with the National Health Commission's disease prevention and control bureau. Taking personal protective measures is still necessary for people living in low-risk regions, especially those just downgraded from high- and medium-risk regions. People should avoid crowds, but if they have to go to a crowded place masks are strongly encouraged. Those working in an enclosed environment should wear a mask correctly, try to reduce working hours and self-monitor their health condition, He said.",epidemic
2020/3/2,Can realgar kill the novel coronavirus?,"Online rumors claim that realgar, known in Chinese as xionghuang, can kill the novel coronavirus. Realgar, a traditional Chinese medicine, is a mineral comprised primarily of arsenic and sulphur. No medical studies have proved that realgar can kill the novel coronavirus. Previous research showed that fumigating realgar in combination with three TCM herbs ¡ª aiye (mugwort leaf), baizhu (Atractylodes macrocephala) and baizhi (the root of Angelicae dahuricae) ¡ª can inhibit some bacteria, including those causing tuberculosis, diphtheria and typhoid. However, it has not been proven that the practice can kill viruses, and using only realgar has not yielded satisfactory results. The novel coronavirus is now known to be sensitive to ultraviolet light and heat and would die within 30 minutes at a temperature of 56 C. There are some chemical disinfectants that can kill the virus on surfaces. These include bleach/chlorine-based disinfectants, ether solvents, 75 percent ethanol, peracetic acid and chloroform, according to the World Health Organization.","World Health Organization,coronavirus,novel coronavirus"
2020/3/3,Can drinking tea prevent coronavirus infections?,"An article claiming that drinking tea may help prevent novel coronavirus infections has raised questions among the public and academics. According to the article, researchers from the Zhejiang Provincial Center for Disease Control and Prevention found through experiments that in cells cultured in vitro, tea, which is rich in polyphenols, works well in killing the virus extracellularly and suppressing its intracellular proliferation. Based on this, the research team suggested that drinking tea could help prevent novel coronavirus infections. An immunologist told The Paper that the novel coronavirus infects alveolar epithelial cells. But the tea we drink won't reach the lungs anyway. Even if the in vitro experiments prove that tea can inhibit or kill the virus, it doesn't mean that drinking tea can do the same, said the immunologist. After in vitro tests, trials on animals should be conducted, and then human clinical trials can be considered. The results of in vitro tests are not enough to conclude that drinking tea can help prevent novel coronavirus infections, the immunologist added. The article, published by the WeChat account of Zhejiang CDC on Feb 26, has been removed. Staff from the center said the latest research findings will be published via the WeChat account after finishing procedures.","coronavirus,novel coronavirus"
2020/3/4,Can ultraviolet light kill the coronavirus?,"According to the latest guideline on the diagnosis and treatment of the novel coronavirus released by the National Health Commission, the virus is sensitive to ultraviolet light and heat, so ultraviolet radiation can effectively eliminate the virus. According to the guideline, indoor spaces should be disinfected with ultraviolet light with an intensity of over 1.5 watts per cubic meter. A UV lamp can disinfect objects within one meter for at least half an hour. Longer exposure to radiation is needed when the temperature indoors is below 20 C or above 40 C and relative humidity is over 60 percent. A room should be ventilated after UV disinfection, and people are suggested to enter the room half an hour later. Although UV is effective in killing the virus indoors, UV lamps should not be used to sterilize hands or other areas of skin, as the radiation can cause skin irritation.","treatment,coronavirus,novel coronavirus"
2020/3/5,Is spraying disinfectant needed everywhere?,"Spraying disinfectant over an area is not recommended as long as the place is less affected by the novel coronavirus. Wuhan, the epicenter of the epidemic, has been disinfected to kill the virus during the peak of the disease in mid-February. The move is not applicable to other less affected areas because the virus can hardly be transmitted through the open air. Instead, it is mainly transmitted via droplets discharged in close contact and is not able to keep alive for long while in the air. According to a guidance issued by the Chinese Center for Disease Control, disinfection of the open air is listed as one of the improper measures. It may backfire by polluting the air, earth, plants, underground water and even human body. Personal prevention measures are more effective than disinfecting the air.","epidemic,Wuhan,coronavirus,novel coronavirus"
2020/3/6,Can mother transmit virus to baby?,"An infant tested positive for the novel coronavirus only 36 hours after being born to an infected mother in Wuhan earlier in February. The news left pregnant women worrying about their unborn babies. Up to now, there have been no cases, including among SARS and MERS patients, proving newborn coronavirus transmission, according to Liu Zhaofen, a researcher with the Chinese Preventive Medicine Association. The infection of the Wuhan infant is still under investigation and the possibility of respiratory transmission has not been excluded. A pathogen can infect the fetus through placenta during pregnancy or through blood to a baby's broken skin or mucous membranes during delivery. A study published on the Lancet on Feb 12 cited nine pregnant novel coronavirus cases, all giving birth to living and uninfected infants. Mother-to-child transmission is still unproven as there are not enough clinical cases yet. Newborn infants should be quarantined for at least 14 days and avoid breast milk. Despite this, trying to conceive is not recommended during the epidemic as pregnant women are more vulnerable to the pathogen. If infected, a pregnant woman must take medicines which is good for the fetus.","Wuhan,cases,novel coronavirus,transmission,coronavirus,epidemic"
2020/3/6,Can recovered patients testing positive again transmit virus?,"Du Bin, a director at the Peking Union Medical College Hospital, said there is currently no evidence that patients testing positive again after recovery from the coronavirus can transmit the virus. Tong Zhaohui, vice-president of Beijing Chaoyang Hospital, said patients who test positive again after recovery from the virus are not ""reinfected"" or ""relapse"". They test positive again because a few number of the virus still remain in their body when they are discharged from hospital. And it needs some time for the virus to be eradicated from the body of some patients, especially from seniors. Recovered COVID-19 patients should be quarantined for 14 days after being discharged from hospital, according to the latest version of guideline on the diagnosis and treatment of the novel coronavirus pneumonia released by the National Health Commission.","Beijing,novel coronavirus,who,COVID-19,coronavirus,treatment"
2020/3/7,Coronavirus has mutated into a more deadly strain?,"The novel coronavirus has evolved into two major subtypes, according to latest research findings of Chinese scientists. The two major subtypes are named L and S. The L type, covering 70 percent of the strains examined, is more aggressive and was more prevalent in the early stages of the outbreak in Wuhan, Hubei province. Instances of the S type, which is older and less aggressive, has increased in frequency lately, thus possibly explaining the disease's slowing momentum in China. However, the authors noted the data examined in the study was very limited. How these mutations would affect the transmission and pathogenesis of the virus are still unknown. A virologist in Beijing who spoke on condition of anonymity said, ""It is still too early to say if the virus has mutated into something more sinister or more benign."" The conclusion is still speculative at this stage, and there's no evidence yet showing which type of virus is more likely to be transmitted or lead to severe symptoms to people infected.","Wuhan,Beijing,who,China,coronavirus,outbreak,pathogenesis,Hubei province"
2020/3/9,Can people test for the novel coronavirus at home?,"The Beijing Medical Products Administration denied rumors that claimed that people can test for the novel coronavirus using a home testing kit and added there was no authorized home version of the test yet. A so-called home testing kit went viral on WeChat, with the seller claiming the result would be visible 15 minutes after adding a drop of blood from one's finger to the kit. The product was recommended for office buildings and schools to test those returning and isolated at home who could not access a medical test at the hospital. According to the administration, samples carried by authorized testing kits can only be tested in polymerase chain reaction (PCR) laboratories or other medical institutes. There is no self-testing device yet and those sold on WeChat are fake.","Beijing,novel coronavirus,who,coronavirus,polymerase chain"
2020/3/10,Novel coronavirus has mutated into a more deadly strain,"The novel coronavirus has evolved into two major subtypes, according to latest research findings by Chinese scientists. The two major subtypes are named L and S. The L type, covering 70 percent of the strains examined, is more aggressive and was more prevalent in the early stages of the outbreak in Wuhan, Hubei province. But instances of the S type, which is older and less aggressive, have increased in frequency lately, thus possibly explaining the disease's slowing momentum in China. The conclusion is still speculative at this stage, and there's no evidence yet showing which type of virus is more likely to be transmitted or lead to severe symptoms to people infected. A virologist in Beijing who spoke on condition of anonymity said, ""It is still too early to say if the virus has mutated into something more sinister or more benign.""","Wuhan,Beijing,who,China,coronavirus,outbreak,Hubei province"
2020/3/10,Recovered patients who test positive again can transmit the virus,"There is currently no evidence that patients testing positive again after recovery from the coronavirus can transmit the virus, said Du Bin, a director at the Peking Union Medical College Hospital. Tong Zhaohui, vice-president of Beijing Chaoyang Hospital, said patients who test positive again after recovery from the virus are not ""reinfected"" or ""relapsed"". They test positive again because a bit of the virus still remains in their bodies when they are discharged from the hospital. It takes some time for the virus to be eradicated from the bodies of some patients, especially seniors. Recovered COVID-19 patients should be quarantined for 14 days after being discharged from the hospital, according to the latest version of the guideline on the diagnosis and treatment of COVID-19 released by the National Health Commission.","Beijing,who,COVID-19,coronavirus,treatment"
2020/3/10,Novel coronavirus is more deadly than any other pathogen,"The fatality rate of the novel coronavirus pneumonia is about 3.4 percent (total deaths divided by the number of confirmed cases), according to the World Health Organization, much lower than the mortality rate of other pathogens, such as Ebola, which has a fatality rate of up to 90 percent. But it is higher than the death rate of seasonal flu, which is less than 1 percent.","confirmed,cases,pneumonia,World Health Organization,coronavirus,pathogens"
2020/3/10,Asians are more vulnerable to novel coronavirus,"The novel coronavirus, which broke out in Wuhan, China, is fueling racism and prejudice against Asian ethnicity in the world. A lot of Asians complained on social media they've received hate speech, been treated inappropriately, or even abused by people around them. However, although most cases of the novel coronavirus have indeed been found in China, there haven't been any findings about which groups are more vulnerable to the novel coronavirus.","Wuhan,cases,novel coronavirus,China,coronavirus"
2020/3/10,Older people are more susceptible,"That's not true. The fact is, people of all ages can be infected by the new coronavirus but older people and those with underlying diseases (such as asthma, diabetes and heart disease) are at higher risk of severe illness. There have been 55,924 lab confirmed cases as of Feb 20. The median age is 51, with the majority of cases (77.8%) aged between 30-69 years, according to the Report of the WHO-China Joint Mission on Coronavirus Disease 2019 (COVID-19). Disease in children is relatively rare with around 2.4 percent of the total reported cases aged below 19. A very small proportion of those aged under 19 patients developed severe (2.5%) or critical disease (0.2%).","confirmed,cases,WHO,Coronavirus,China,COVID-19,coronavirus,heart disease"
2020/3/10,The virus was manufactured and leaked from a research lab in China,"The Wuhan Institute of Virology, the top virus research agency in China, has been targeted by rumors and controversies since the outbreak. Rumors included the virus being artificially engineered and leaked from the institute's biosafety level-4 laboratory, which studies the deadliest pathogens, such as the Ebola and Marburg viruses. One article published by The Washington Times on Jan 26 claimed the virus was part of a Chinese biological weapons program based at the institute. There also were claims that the first patient contracting the virus was a graduate student from the institute and that the head of the institute sold experimental animals to a seafood market, where the first case of infection was reported, and leaked the virus from a lab. In an open letter published in Lancet on Feb 18, 27 health experts from across the world condemned conspiracy theories surrounding the novel coronavirus. The letter read ""scientists from multiple countries have published and analyzed genomes of the causative agent, severe acute respiratory syndrome coronavirus 2 (SARS-COV-2), and they overwhelmingly conclude that this coronavirus originated in wildlife, as have many other emerging pathogens.""","Wuhan,Washington,China,coronavirus,outbreak,severe acute respiratory syndrome coronavirus 2,pathogens"
2020/3/10,Is it dangerous to eat at a Chinese restaurant or to receive a package from China?,"Owners of Chinese restaurants abroad have reported a downturn in business since the novel coronavirus outbreak, as few customers dare to have dinners there. The fact is, the novel coronavirus is transmitted mainly by respiratory droplets or direct contact with a patient's body fluids, not through food. As for packages, previous analysis has shown the virus does not survive long on objects such as letters and packages, so it's safe to receive packages from China.","outbreak,China,coronavirus,novel coronavirus"
2020/3/10,Eating garlic or Vitamin C helps keep the virus away?,"Although garlic is a popular flu remedy in traditional Chinese medicine and may have some antimicrobial properties, there is no evidence that eating garlic does help you fend off the virus. The same is true with Vitamin C. Many believe that Vitamin C is able to improve immunity, which health experts said is scientifically groundless. Vitamin C supplements are not an alternative to fresh food. For health people, it is not necessary to take extra supplements to prevent the disease as long as they get enough nutrition from a balanced diet. As for drinking hot water to kill the virus, it is only another misunderstanding. The novel coronavirus can be killed in water at 56 C or higher after 30 minutes, but it is impossible for human body to lift its temperature to 56 C. What's more, the virus infects the respiratory tract of human body rather than the digestive tract. Drinking hot water not only is useless, but also hurts your esophagus.","respiratory tract,coronavirus,novel coronavirus"
2020/3/10,Pregnant women can transmit the virus to her child,"Up to now, there have been no cases proving newborn coronavirus transmission. A study published in the Lancet on Feb 12 cited nine pregnant novel coronavirus cases, with all the women giving birth to living and uninfected infants. A pathogen can infect the fetus through placenta during pregnancy or through blood to a baby's broken skin or mucous membranes during delivery.","coronavirus,cases,transmission,novel coronavirus"
2020/3/10,Wearing more than one mask will help prevent infection,"Wearing thicker masks or two disposable surgical masks while trying to better prevent transmission of the novel coronavirus does not help and may cause breathing difficulty. A coronavirus is only 10 nanometers in diameter and can only float in the air attached to other particles, like human droplets, which are much bigger. A mask can help stop the coronavirus if it stops the particles or droplets and a disposable surgical mask is good enough to do that. Cotton masks, thicker than surgical masks, have bigger pores, which may allow the virus in. Even if it is stopped at the outer surface, the virus may filter inside due to the absorbency of cotton after the mask turns wet during use.","coronavirus,transmission"
2020/3/10,Do pregnant women need to go to hospital for prenatal tests during the epidemic if the fetal heart rate is normal after home test?,"Fetal heart rate monitoring is just one of the prenatal tests. Apart from basic self-checks at home, women who are under 28 weeks¡¯ gestation can postpone their checks in the hospital as appropriate during the epidemic if they feel no special discomfort. But they still need to go to the hospital when the pregnancy is over 28 weeks. Pregnant women should go to the hospital if they feel dizzy or dazzled, if they experience swelling, or if they suffer from diarrhea or sudden and rapid weight gain. In addition, fetal movement is also a very important indicator when self-monitoring. If fetuses suffer from early hypoxia in the uterus, their abnormal movements, rather than their heart rates, will be the first symptom in late pregnancy. A single check of the fetal heart cannot completely rule out whether the fetus is anoxic, so it cannot replace regular prenatal tests.","who,epidemic"
2020/3/11,Will coronavirus die out in warmer weather?,"Rumor has it that the novel coronavirus will vanish as the temperature goes up. But whether it will or not is still in doubt. Epidemiologists have cautioned against betting on the weather to halt the outbreak. On Friday, Michael Ryan, executive director of the WHO Health Emergencies Program, told a daily briefing in Geneva that there is no evidence right now suggesting COVID-19 will disappear in the summer. ""We do not know yet what the activity or behavior of the virus will be in different climatic conditions,"" said Ryan, warning against the assumption that the virus would just disappear on its own in the summertime like influenza. Harvard epidemiologist Marc Lipsitch also doesn't assume that changes in weather will make a big difference in how the virus spreads. ""COVID-19 has now been documented around the world. If the virus is anything like a typical flu virus, it may worsen in Southern Hemisphere regions as the seasons change,"" Lipsitch was quoted as saying in a story published on the National Geographic website. Wang Peiyu, the deputy director of the Public Health College of Peking University, said that although warmer temperatures disadvantage virus transmission, we should not count on it.","novel coronavirus,WHO,transmission,Public Health,COVID-19,coronavirus,outbreak"
2020/3/12,Can 'antiviral food' battle COVID-19?,"There is no clear evidence that so-called antiviral food - including garlic, lactoferrin and dried mushrooms - has antiviral effects. Although rich in nutrition, these foods can neither prevent nor cure the novel coronavirus (COVID-19) disease. It is essential to keep a balanced diet during the epidemic, which requires reasonable daily intakes of meat and vegetables as well as coarse and refined grains. People also need to eat more fresh fruit and drink more water to strengthen their immune systems.","COVID-19,coronavirus,epidemic"
2020/3/12,Can gamma globulin prevent COVID-19?,"Gamma globulin, a kind of immunoglobulin product, is extracted from healthy human plasma through low temperature alcohol methods and virus inactivation treatment. It contains broad spectrum antivirus, bacteria and IgG antibodies of other pathogens. An injection of gamma globulin is to transfer large amounts of the antibodies contained in the immunoglobulin into the recipient, who will gain a temporary immunity increase from a low or unprotected level. Immunoglobulin products are effective at preventing bacterial and viral infections. However, no evidence is available to prove that gamma globulin can prevent the novel coronavirus. What's more, the improper usage of gamma globulin can cause allergic reactions and side-effects in immune and blood systems.","plasma,who,coronavirus,treatment,antibodies,pathogens"
2020/3/12,Does patients' sweat transmit virus?,"The novel coronavirus is mainly spread through droplets discharged by patients and close contact with them but that does not necessarily mean through their skin or sweat, according to the latest study of the virus. Our inner body is protected by our skin from harmful microorganisms. ""Close contact"" means patients may discharge the pathogen on their hands or arms through droplets after they cough with their mouth and nose covered by their hand or arms. If we touch something the patients have touched, the pathogen may switch to your hands and get into mucosal tissue after we touch our eyes, nose or mouth with the affected hand. Do wash your hands carefully anytime and give special protection to any broken skin to prevent from the virus from entering your body.","coronavirus,novel coronavirus"
2020/3/15,Do we need to disinfect toilet to prevent coronavirus?,"As the virus has been found in the fecal samples of some patients, many people worry about the transmission of the novel coronavirus through toilet at their homes. At present, the novel coronavirus is mainly transmitted through respiratory droplets or physical contacts with an infected person. Aerosol and fecal-oral transmissions are not the major routes of spreading. Aerosol transmission, in which the virus is spread after mixing with fine solid or liquid particles floating in the air, occurs in only extreme conditions - when people stay in a confined space for a long time and are exposed to high concentrations of aerosol, such as in health facilities. In a well-ventilated environment, the risk of aerosol infection is very low. Therefore, disinfection of the toilet is not needed if there are no confirmed or suspected patients at home. Recommended measures include sealing the toilet drain, covering the toilet when flushing, and improving ventilation and sanitary conditions.","confirmed,coronavirus,transmission,novel coronavirus"
2020/3/18,Can plasma from recovered patients give immunity?,"Transfusing plasma from recovered patients, which contain antibodies that are effective against the virus, is an unconventional therapy used to treat severe or critical cases of COVID-19 at a time when vaccines and specific medications against the disease are not yet available, according to the latest guideline on the diagnosis and treatment of the novel coronavirus released by the National Health Commission.  Although plasma therapy is effective on some severe patients, it doesn't mean that it can be adopted as a preventative measure for healthy people to gain immunity, said Wu Yuzhang, director of the Institute of Immunology of the People's Liberation Army.  Since the novel coronavirus is mainly transmitted through the respiratory tract, antibodies should be deployed on the respiratory mucous membrane to keep the virus from infecting cells. There is no evidence that the plasma from a recovered patient has such an effect, he said.  Also, the plasma from the recovered patients contain not only antibodies that are effective against the novel coronavirus, but also other types of antibodies, cytokines and plasma proteins, which may cause allergies and autoimmune diseases. What's more, plasma donated from recovered COVID-19 patients is in short supply and involves a complicated processing procedure and high costs, therefore it is not viewed as a viable method for healthy people to get immunity to the virus. For the general public, preventive precautions such as wearing masks and keeping a safe distance from others are better ways to prevent ourselves from getting the virus.","cases,respiratory tract,novel coronavirus,plasma,COVID-19,coronavirus,treatment,antibodies"
